Unnamed: 0,ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,Predicted_state
0,1,1,-1,-1,0.02,2,-0.02,1,0,1,0,0,0.06379367473806252,0.9362063252619311,2
1,1,0,-1,1,0.05,2,-0.05,1,1,2,0,1,0.09316964740484933,0.906830352595132,2
2,1,0,-1,-1,0.05,2,-0.05,1,1,3,1,1,0.12169651229749259,0.8783034877025164,2
3,1,1,1,-1,0.01,2,0.01,1,1,4,0,1,0.14400212674636684,0.8559978732536312,2
4,1,1,1,-1,0.05,2,0.05,1,1,5,0,1,0.16818792896805532,0.8318120710319197,2
5,1,1,-1,-1,0.01,2,-0.01,1,0,6,0,0,0.1921364128936734,0.8078635871063109,2
6,1,1,-1,-1,0.05,2,-0.05,1,0,7,0,0,0.22021962803209696,0.779780371967888,2
7,1,0,-1,1,0.05,2,-0.05,1,1,8,0,1,0.25868147946846376,0.7413185205315093,2
8,1,1,-1,1,0.02,2,-0.02,1,0,9,1,0,0.2968407873262207,0.7031592126737541,2
9,1,1,1,-1,0.05,2,0.05,1,1,10,0,1,0.329054763974304,0.6709452360257232,2
10,1,1,1,1,0.05,2,0.05,1,1,11,1,1,0.3616783578412592,0.6383216421587148,2
11,1,1,-1,-1,0.01,2,-0.01,1,0,12,0,0,0.38961039436086925,0.6103896056391386,2
12,1,0,-1,-1,0.02,2,-0.02,1,1,13,1,1,0.42323296090387436,0.5767670390961305,2
13,1,1,-1,1,0.01,2,-0.01,1,0,14,1,0,0.4488888788685743,0.551111121131436,2
14,1,1,1,-1,0.02,2,0.02,1,1,15,0,1,0.4698755802355904,0.5301244197644099,2
15,1,1,1,1,0.02,2,0.02,1,1,16,1,1,0.49329600565241827,0.5067039943475639,2
16,1,1,1,1,0.01,2,0.01,1,1,17,1,1,0.5124568373186994,0.4875431626813011,1
17,1,1,1,1,0.01,2,0.01,1,1,18,1,1,0.527620743319591,0.47237925668038494,1
18,1,0,-1,1,0.05,2,-0.05,1,1,19,0,1,0.5390818861381164,0.46091811386188786,1
19,1,0,-1,1,0.02,2,-0.02,1,1,20,0,1,0.5508769858566818,0.4491230141432936,1
20,1,0,-1,1,0.05,2,-0.05,1,1,21,0,1,0.5644831424501231,0.43551685754986597,1
21,1,0,-1,-1,0.05,2,-0.05,1,1,22,1,1,0.5784992027581761,0.421500797241807,1
22,1,0,-1,1,0.02,2,-0.02,1,1,23,0,1,0.5879187240912667,0.41208127590875443,1
23,1,1,-1,-1,0.02,2,-0.02,1,0,24,0,0,0.5991805499145682,0.4008194500854141,1
24,1,1,1,-1,0.02,2,0.02,1,1,25,0,1,0.6159854400492809,0.3840145599507348,1
25,1,1,-1,1,0.02,2,-0.02,1,0,26,1,0,0.6353990392930005,0.3646009607069999,1
26,1,0,1,-1,0.05,1,0.05,1,0,27,1,0,0.6512837671935968,0.3487162328064122,1
27,1,1,-1,1,0.05,1,-0.05,1,0,28,1,0,0.6623256676522136,0.3376743323477711,1
28,1,1,-1,1,0.02,1,-0.02,1,0,29,1,0,0.6710565526556842,0.3289434473443254,1
29,1,0,1,-1,0.05,1,0.05,1,0,30,1,0,0.6770016245013433,0.32299837549868105,1
30,1,0,-1,1,0.02,1,-0.02,1,1,31,0,1,0.6788322880393248,0.32116771196065547,1
31,1,0,-1,-1,0.05,1,-0.05,1,1,32,1,1,0.6825703960437334,0.31742960395625586,1
32,1,0,-1,-1,0.01,1,-0.01,1,1,33,1,1,0.682662468706317,0.31733753129367304,1
33,1,1,-1,1,0.05,1,-0.05,1,0,34,1,0,0.6782740853792847,0.3217259146207097,1
34,1,0,-1,1,0.05,1,-0.05,1,1,35,0,1,0.671784237518145,0.32821576248188006,1
35,1,0,-1,-1,0.02,1,-0.02,1,1,36,1,1,0.6659645877848047,0.3340354122152107,1
36,1,1,1,-1,0.05,2,0.05,1,1,37,0,1,0.6554627290054155,0.3445372709946009,1
37,1,0,-1,1,0.01,2,-0.01,1,1,38,0,1,0.6459614916321215,0.35403850836789874,1
38,1,1,-1,1,0.01,2,-0.01,1,0,39,1,0,0.6389470034571201,0.3610529965428926,1
39,1,1,1,-1,0.02,2,0.02,1,1,40,0,1,0.6288699553343364,0.37113004466568966,1
40,1,1,1,1,0.01,2,0.01,1,1,41,1,1,0.6211113393204915,0.37888866067952304,1
41,1,1,-1,-1,0.01,2,-0.01,1,0,42,0,0,0.6101977403199556,0.3898022596800679,1
42,1,0,-1,-1,0.05,2,-0.05,1,1,43,1,1,0.6036298973519194,0.39637010264810646,1
43,1,1,-1,-1,0.02,2,-0.02,1,0,44,0,0,0.5927593144872336,0.4072406855127837,1
44,1,1,1,-1,0.02,2,0.02,1,1,45,0,1,0.5870165375980188,0.4129834624019814,1
45,1,0,-1,1,0.01,2,-0.01,1,1,46,0,1,0.5834321457348105,0.4165678542652141,1
46,1,1,-1,1,0.02,2,-0.02,1,0,47,1,0,0.5821290010346635,0.4178709989653521,1
47,1,0,-1,1,0.02,2,-0.02,1,1,48,0,1,0.5777584455241376,0.4222415544758892,1
48,1,1,-1,-1,0.02,2,-0.02,1,0,49,0,0,0.575105760960108,0.4248942390398868,1
49,1,1,-1,1,0.05,2,-0.05,1,0,50,1,0,0.577326264356298,0.42267373564367744,1
50,1,0,-1,1,0.05,2,-0.05,1,1,51,0,1,0.5770846314913097,0.4229153685086794,1
51,1,1,-1,1,0.01,2,-0.01,1,0,52,1,0,0.5772590098634227,0.4227409901365581,1
52,1,1,-1,1,0.02,2,-0.02,1,0,53,1,0,0.5742878199304364,0.42571218006958483,1
53,1,0,-1,1,0.05,2,-0.05,1,1,54,0,1,0.5681893259697264,0.4318106740302845,1
54,1,1,1,-1,0.02,2,0.02,1,1,55,0,1,0.5624884160687857,0.43751158393121914,1
55,1,0,-1,-1,0.05,2,-0.05,1,1,56,1,1,0.5588928031223075,0.44110719687769406,1
56,1,1,1,-1,0.05,2,0.05,1,1,57,0,1,0.5509439537544089,0.4490560462455815,1
57,1,0,1,-1,0.05,2,0.05,1,0,58,1,0,0.5437172045699097,0.4562827954300645,1
58,1,1,-1,-1,0.01,1,-0.01,1,0,59,0,0,0.5314478671607975,0.468552132839185,1
59,1,1,1,-1,0.01,1,0.01,1,1,60,0,1,0.5234639613338113,0.4765360386662023,1
60,1,1,-1,-1,0.01,1,-0.01,1,0,61,0,0,0.5181387065935523,0.4818612934064235,1
61,1,1,-1,-1,0.01,2,-0.01,1,0,62,0,0,0.5168157466166206,0.483184253383363,1
62,1,1,-1,1,0.01,2,-0.01,1,0,63,1,0,0.5194616018741739,0.48053839812584387,1
63,1,1,1,-1,0.02,2,0.02,1,1,64,0,1,0.5187685996835605,0.48123140031641126,1
64,1,1,-1,-1,0.01,2,-0.01,1,0,65,0,0,0.5200451101706014,0.4799548898294155,1
65,1,1,1,-1,0.05,2,0.05,1,1,66,0,1,0.5253277132319782,0.4746722867680047,1
66,1,1,1,-1,0.05,2,0.05,1,1,67,0,1,0.5312541969428283,0.46874580305714636,1
67,1,0,1,1,0.02,2,0.02,1,0,68,0,0,0.5378434787661306,0.46215652123388945,1
68,1,1,-1,-1,0.01,2,-0.01,1,0,69,0,0,0.5488420192976696,0.4511579807023331,1
69,1,0,1,1,0.02,2,0.02,1,0,70,0,0,0.5643547232313149,0.43564527676871195,1
70,1,0,-1,-1,0.05,2,-0.05,1,1,71,1,1,0.5849868820736078,0.41501311792638823,1
71,1,1,-1,1,0.05,2,-0.05,1,0,72,1,0,0.6005132414441459,0.39948675855585625,1
72,1,1,1,1,0.05,2,0.05,1,1,73,1,1,0.6132883055740824,0.38671169442591014,1
73,1,0,-1,-1,0.02,2,-0.02,1,1,74,1,1,0.6233122038976747,0.3766877961023319,1
74,1,1,1,-1,0.02,2,0.02,1,1,75,0,1,0.6284445759270483,0.3715554240729325,1
75,1,1,-1,1,0.02,2,-0.02,1,0,76,1,0,0.6358386014034544,0.3641613985965621,1
76,1,1,-1,-1,0.05,2,-0.05,1,0,77,0,0,0.6403235806563564,0.35967641934366573,1
77,1,0,1,-1,0.02,2,0.02,1,0,78,1,0,0.6526581528883578,0.3473418471116268,1
78,1,0,1,-1,0.05,2,0.05,1,0,79,1,0,0.6598725104592421,0.3401274895407492,1
79,1,0,-1,-1,0.02,2,-0.02,1,1,80,1,1,0.6628276145832501,0.33717238541676003,1
80,1,1,1,-1,0.01,2,0.01,1,1,81,0,1,0.6613365608336628,0.3386634391663547,1
81,1,1,1,-1,0.05,2,0.05,1,1,82,0,1,0.6626680873446209,0.33733191265537454,1
82,1,0,-1,-1,0.05,2,-0.05,1,1,83,1,1,0.6649768525742374,0.3350231474257675,1
83,1,1,-1,1,0.01,2,-0.01,1,0,84,1,0,0.663545743045268,0.3364542569547416,1
84,1,1,1,-1,0.02,1,0.02,1,1,85,0,1,0.6593343998574575,0.3406656001425539,1
85,1,1,-1,-1,0.02,1,-0.02,1,0,86,0,0,0.6573911305137767,0.3426088694862431,1
86,1,1,-1,-1,0.01,1,-0.01,1,0,87,0,0,0.66035982674934,0.33964017325068296,1
87,1,1,1,-1,0.01,1,0.01,1,1,88,0,1,0.6675597946182475,0.3324402053817557,1
88,1,0,1,-1,0.05,1,0.05,1,0,89,1,0,0.6777314216984007,0.32226857830160727,1
89,1,0,-1,1,0.05,1,-0.05,1,1,90,0,1,0.6836130517935932,0.31638694820638136,1
90,1,1,1,-1,0.05,1,0.05,1,1,91,0,1,0.6901954812810104,0.3098045187189878,1
91,1,1,1,1,0.02,1,0.02,1,1,92,1,1,0.6978391900008762,0.30216080999910694,1
92,1,0,1,-1,0.05,1,0.05,1,0,93,1,0,0.7028969567295716,0.29710304327041065,1
93,1,0,1,-1,0.02,1,0.02,1,0,94,1,0,0.7040340406906086,0.2959659593093945,1
94,1,0,1,1,0.02,1,0.02,1,0,95,0,0,0.7007789260234281,0.2992210739765611,1
95,1,0,-1,-1,0.01,1,-0.01,1,1,96,1,1,0.70182378598065,0.29817621401935085,1
96,1,0,-1,-1,0.01,1,-0.01,1,1,97,1,1,0.6985393418468309,0.3014606581531506,1
97,1,1,1,-1,0.02,1,0.02,1,1,98,0,1,0.6907799158765118,0.30922008412349045,1
98,1,0,-1,1,0.05,1,-0.05,1,1,99,0,1,0.6853798173042156,0.3146201826957815,1
99,1,1,-1,1,0.01,1,-0.01,1,0,100,1,0,0.6806829186003882,0.31931708139963255,1
100,1,1,-1,-1,0.05,1,-0.05,1,0,101,0,0,0.673219288703714,0.32678071129627656,1
101,1,0,-1,1,0.02,1,-0.02,1,1,102,0,1,0.6732319331708727,0.3267680668291475,1
102,1,0,-1,1,0.02,1,-0.02,1,1,103,0,1,0.6751350403198524,0.3248649596801642,1
103,1,0,-1,-1,0.05,1,-0.05,1,1,104,1,1,0.6789401679375072,0.3210598320624909,1
104,1,1,1,-1,0.05,1,0.05,1,1,105,0,1,0.6790761604093865,0.3209238395906161,1
105,1,1,1,-1,0.01,1,0.01,1,1,106,0,1,0.6802261722570317,0.3197738277429878,1
106,1,1,-1,1,0.02,1,-0.02,1,0,107,1,0,0.684228767067364,0.31577123293264764,1
107,1,1,1,-1,0.02,1,0.02,1,1,108,0,1,0.685631481964896,0.31436851803512855,1
108,1,0,-1,-1,0.02,1,-0.02,1,1,109,1,1,0.6893327259908293,0.3106672740091575,1
109,1,0,-1,-1,0.02,1,-0.02,1,1,110,1,1,0.6887555239354941,0.3112444760645036,1
110,1,0,1,-1,0.05,1,0.05,1,0,111,1,0,0.6838756772516804,0.3161243227483224,1
