ID,resp,theta,previous,contrast,state,stim*contrast,block,correct,trial,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,State
1,0,-1,0,0.02,1,-0.4,1,1,1,0,1,0.5084559277657759,0.49154407223423063,2
1,0,-1,-1,0.01,1,-0.2,1,1,2,1,1,0.41734022673621424,0.5826597732637936,1
1,1,1,-1,0.1,1,2.0,1,1,3,0,1,0.3347590070659656,0.6652409929340346,1
1,0,-1,-1,0.01,1,-0.2,1,1,4,1,1,0.2326576115360608,0.767342388463933,1
1,1,-1,1,0.01,2,-0.2,1,0,5,1,0,0.12876261244796788,0.8712373875520206,1
1,1,-1,1,0.1,1,-2.0,1,0,6,1,0,0.005314037584978965,0.9946859624150338,1
1,1,1,1,0.01,1,0.2,1,1,7,1,1,0.041558409933470195,0.958441590066524,1
1,0,-1,-1,0.01,1,-0.2,1,1,8,1,1,0.052131001938565354,0.9478689980614208,1
1,1,1,-1,0.1,1,2.0,1,1,9,0,1,0.04279828678375937,0.9572017132162531,1
1,1,-1,1,0.1,1,-2.0,1,0,10,1,0,0.004468116323357373,0.9955318836766364,1
1,1,-1,1,0.05,1,-1.0,1,0,11,1,0,0.10206120459884535,0.8979387954011478,1
1,1,-1,1,0.05,1,-1.0,1,0,12,1,0,0.27364394995440916,0.7263560500455803,1
1,0,-1,-1,0.1,2,-2.0,1,1,13,1,1,0.6031186493216775,0.39688135067831515,2
1,1,1,-1,0.02,2,0.4,1,1,14,0,1,0.934449243903953,0.06555075609605007,2
1,0,-1,1,0.05,2,-1.0,1,1,15,0,1,0.9905931915798867,0.009406808420103998,2
1,0,-1,1,0.1,2,-2.0,1,1,16,0,1,0.9558921910993992,0.044107808900604936,2
1,1,1,1,0.05,2,1.0,1,1,17,1,1,0.8250196173626716,0.17498038263732027,2
1,1,1,-1,0.1,2,2.0,1,1,18,0,1,0.7103818255212454,0.28961817447875343,2
1,0,-1,-1,0.05,2,-1.0,1,1,19,1,1,0.5960153651952154,0.4039846348047748,2
1,0,1,-1,0.02,2,0.4,1,0,20,1,0,0.48524500338768395,0.5147549966123098,1
1,0,1,-1,0.02,2,0.4,1,0,21,1,0,0.5176782090368761,0.4823217909631126,2
1,1,-1,1,0.02,2,-0.4,1,0,22,1,0,0.7403521318956513,0.2596478681043572,2
1,0,-1,1,0.05,2,-1.0,1,1,23,0,1,0.9852940610939313,0.014705938906061089,2
1,0,-1,1,0.1,2,-2.0,1,1,24,0,1,0.986153317137552,0.013846682862444835,2
1,1,1,1,0.01,2,0.2,1,1,25,1,1,0.9724768116026666,0.027523188397340435,2
1,1,1,-1,0.01,2,0.2,1,1,26,0,1,0.9844529883473517,0.015547011652657858,2
1,0,-1,-1,0.05,2,-1.0,1,1,27,1,1,0.957017839684062,0.04298216031594679,2
1,0,-1,1,0.1,1,-2.0,1,1,28,0,1,0.954196159670038,0.04580384032995873,2
1,1,1,1,0.1,1,2.0,1,1,29,1,1,0.8950077795301656,0.10499222046984508,2
1,0,-1,-1,0.1,2,-2.0,1,1,30,1,1,0.856602610156917,0.1433973898430828,2
1,0,-1,-1,0.01,2,-0.2,1,1,31,1,1,0.8368553163487044,0.16314468365130225,2
1,1,-1,1,0.01,2,-0.2,1,0,32,1,0,0.8435179057168296,0.15648209428316612,2
1,1,1,1,0.05,2,1.0,1,1,33,1,1,0.8696209431517908,0.1303790568482076,2
