ID,resp,theta,previous,contrast,state,stim*contrast,correct,trial,block,previous_congruent,stim*contrast_congruent,Gl_Prob_State_ext,Gl_Prob_State_int,State
1,1,-1,-1,0.02,1,-0.02,0,1,1,0,0,0.0637936747380734,0.9362063252619311,1
1,0,-1,1,0.05,1,-0.05,1,2,1,0,1,0.09316964740485992,0.906830352595132,1
1,0,-1,-1,0.05,1,-0.05,1,3,1,1,1,0.12169651229750643,0.8783034877025164,1
1,1,1,-1,0.01,1,0.01,1,4,1,0,1,0.1440021267463832,0.8559978732536312,1
1,1,1,-1,0.05,1,0.05,1,5,1,0,1,0.16818792896805532,0.8318120710319197,1
1,1,-1,-1,0.01,1,-0.01,0,6,1,0,0,0.1921364128936734,0.8078635871063109,1
1,1,-1,-1,0.05,1,-0.05,0,7,1,0,0,0.22021962803208445,0.779780371967888,1
1,0,-1,1,0.05,1,-0.05,1,8,1,0,1,0.25868147946844905,0.7413185205315513,1
1,1,-1,1,0.02,1,-0.02,0,9,1,1,0,0.2968407873262207,0.7031592126737541,1
1,1,1,-1,0.05,1,0.05,1,10,1,0,1,0.3290547639742853,0.6709452360257232,1
1,1,1,1,0.05,1,0.05,1,11,1,1,1,0.3616783578412592,0.638321642158751,1
1,1,-1,-1,0.01,1,-0.01,0,12,1,0,0,0.3896103943608471,0.6103896056391386,1
1,0,-1,-1,0.02,1,-0.02,1,13,1,1,1,0.4232329609038503,0.5767670390961305,1
1,1,-1,1,0.01,1,-0.01,0,14,1,1,0,0.4488888788685743,0.5511111211314047,1
1,1,1,-1,0.02,1,0.02,1,15,1,0,1,0.4698755802355904,0.5301244197644099,1
1,1,1,1,0.02,1,0.02,1,16,1,1,1,0.49329600565241827,0.5067039943475639,1
1,1,1,1,0.01,1,0.01,1,17,1,1,1,0.5124568373186994,0.4875431626813288,0
1,1,1,1,0.01,1,0.01,1,18,1,1,1,0.5276207433195609,0.47237925668041175,0
1,0,-1,1,0.05,1,-0.05,1,19,1,0,1,0.5390818861380551,0.46091811386194026,0
1,0,-1,1,0.02,1,-0.02,1,20,1,0,1,0.5508769858566505,0.4491230141433702,0
1,0,-1,1,0.05,1,-0.05,1,21,1,0,1,0.5644831424500589,0.4355168575499155,0
1,0,-1,-1,0.05,1,-0.05,1,22,1,1,1,0.5784992027581433,0.4215007972418549,0
1,0,-1,1,0.02,1,-0.02,1,23,1,0,1,0.5879187240911998,0.41208127590877786,0
1,1,-1,-1,0.02,1,-0.02,0,24,1,0,0,0.5991805499145342,0.40081945008545966,0
1,1,1,-1,0.02,1,0.02,1,25,1,0,1,0.6159854400492109,0.3840145599508003,0
1,1,-1,1,0.02,1,-0.02,0,26,1,1,0,0.6353990392929644,0.36460096070706205,0
1,0,1,-1,0.05,0,0.05,0,27,1,1,0,0.6512837671935598,0.348716232806432,0
1,1,-1,1,0.05,0,-0.05,0,28,1,1,0,0.6623256676521759,0.33767433234780947,0
1,1,-1,1,0.02,0,-0.02,0,29,1,1,0,0.671056552655646,0.3289434473443441,0
1,0,1,-1,0.05,0,0.05,0,30,1,1,0,0.6770016245013047,0.32299837549869936,0
1,0,-1,1,0.02,0,-0.02,1,31,1,0,1,0.6788322880392862,0.321167711960692,0
1,0,-1,-1,0.05,0,-0.05,1,32,1,1,1,0.6825703960436946,0.31742960395629194,0
1,0,-1,-1,0.01,0,-0.01,1,33,1,1,1,0.6826624687062781,0.31733753129372716,0
1,1,-1,1,0.05,0,-0.05,0,34,1,1,0,0.6782740853792462,0.3217259146207646,0
1,0,-1,1,0.05,0,-0.05,1,35,1,0,1,0.6717842375180686,0.32821576248193607,0
1,0,-1,-1,0.02,0,-0.02,1,36,1,1,1,0.6659645877846911,0.33403541221528665,0
